Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 b_6_6_10.apx,1200,1200,164.33,1200,,,
 b_6_6_6.apx,1200,1200,156.83,1200,,,
 b_6_6_7.apx,1200,1200,278.52,1200,,,
 b_6_6_8.apx,1200,1200,140.37,1200,,,
 b_6_6_9.apx,1200,1200,160.44,1200,,,
 b_6_7_10.apx,1200,1200,155.2,1200,,,
 b_6_8_10.apx,1200,1200,154.26,1200,,,
 b_6_8_6.apx,1200,557.34,108.39,1200,,,
 b_6_8_7.apx,1200,1200,209.12,1200,,,
 b_6_8_8.apx,1200,1200,190.22,1200,,,
 b_6_8_9.apx,1200,1200,172.27,1200,,,
 b_6_9_10.apx,1200,1200,238.27,1200,,,
 b_7_10_10.apx,1200,1200,1200,1200,,,
 b_7_10_6.apx,1200,1200,1200,1200,,,
 b_7_10_7.apx,1200,1200,1200,1200,,,
 b_7_10_8.apx,1200,1200,1200,1200,,,
 b_7_10_9.apx,1200,1200,1200,1200,,,
 b_7_1_10.apx,1200,1200,1200,1200,,,
 b_7_2_10.apx,1200,1200,1200,1200,,,
 b_7_2_6.apx,1200,1200,1200,1200,,,
 b_7_2_7.apx,1200,1200,1200,1200,,,
 b_7_2_8.apx,1200,1200,1200,1200,,,
 b_7_2_9.apx,1200,1200,1200,1200,,,
 b_7_3_10.apx,1200,1200,1200,1200,,,
 b_7_4_10.apx,1200,1200,1200,1200,,,
 b_7_4_6.apx,1200,1200,1200,1200,,,
 b_7_4_7.apx,1200,1200,1200,1200,,,
 b_7_4_8.apx,1200,1200,1200,1200,,,
 b_7_4_9.apx,1200,1200,1200,1200,,,
 b_7_5_10.apx,1200,1200,1200,1200,,,
 b_7_6_10.apx,1200,1200,1200,1200,,,
 b_7_6_6.apx,1200,1200,1200,1200,,,
 b_7_6_7.apx,1200,1200,1200,1200,,,
 b_7_6_8.apx,1200,1200,1200,1200,,,
 b_7_6_9.apx,1200,1200,1200,1200,,,
 b_7_7_10.apx,1200,1200,1200,1200,,,
 b_7_8_10.apx,1200,1200,352.28,1200,,,
 b_7_8_6.apx,1200,1200,477.66,1200,,,
 b_7_8_7.apx,1200,1200,538.37,1200,,,
 b_7_8_8.apx,1200,1200,1200,1200,,,
 b_7_8_9.apx,1200,1200,1200,1200,,,
 b_7_9_10.apx,1200,1200,1200,1200,,,
 b_8_10_10.apx,1200,1200,1200,1200,,,
 b_8_10_6.apx,1200,1200,1200,1200,,,
 b_8_10_7.apx,1200,1200,1200,1200,,,
 b_8_10_8.apx,1200,1200,1200,1200,,,
 b_8_10_9.apx,1200,1200,1200,1200,,,
 b_8_1_10.apx,1200,1200,1200,1200,,,
 b_8_2_10.apx,1200,1200,1200,1200,,,
 b_8_2_6.apx,1200,1200,1200,1200,,,
 b_8_2_7.apx,1200,1200,1200,1200,,,
 b_8_2_8.apx,1200,1200,1200,1200,,,
 b_8_2_9.apx,1200,1200,1200,1200,,,
 b_8_3_10.apx,1200,1200,1200,1200,,,
 b_8_4_10.apx,1200,1200,1200,1200,,,
 b_8_4_6.apx,1200,1200,1200,1200,,,
 b_8_4_7.apx,1200,1200,1200,1200,,,
 b_8_4_8.apx,1200,1200,1200,1200,,,
 b_8_4_9.apx,1200,1200,1200,1200,,,
 b_8_5_10.apx,1200,1200,1200,1200,,,
 b_8_6_10.apx,1200,1200,1200,1200,,,
 b_8_6_6.apx,1200,1200,1200,1200,,,
 b_8_6_7.apx,1200,1200,1200,1200,,,
 b_8_6_8.apx,1200,1200,1200,1200,,,
 b_8_6_9.apx,1200,1200,1200,1200,,,
 b_8_7_10.apx,1200,1200,1200,1200,,,
 b_8_8_10.apx,1200,1200,1200,1200,,,
 b_8_8_6.apx,1200,1200,1200,1200,,,
 b_8_8_7.apx,1200,1200,1200,1200,,,
 b_8_8_8.apx,1200,1200,1200,1200,,,
 b_8_8_9.apx,1200,1200,1200,1200,,,
 b_8_9_10.apx,1200,1200,1200,1200,,,
 b_9_10_10.apx,1200,1200,1200,1200,,,
 b_9_10_6.apx,1200,1200,1200,1200,,,
 b_9_10_7.apx,1200,1200,1200,1200,,,
 b_9_10_8.apx,1200,1200,1200,1200,,,
 b_9_10_9.apx,1200,1200,1200,1200,,,
 b_9_1_10.apx,1200,1200,1200,1200,,,
 b_9_2_10.apx,1200,1200,1200,1200,,,
 b_9_2_6.apx,1200,1200,1200,1200,,,
 b_9_2_7.apx,1200,1200,1200,1200,,,
 b_9_2_8.apx,1200,1200,1200,1200,,,
 b_9_2_9.apx,1200,1200,1200,1200,,,
 b_9_3_10.apx,1200,1200,1200,1200,,,
 b_9_4_10.apx,1200,1200,1200,1200,,,
 b_9_4_6.apx,1200,1200,1200,1200,,,
 b_9_4_7.apx,1200,1200,1200,1200,,,
 b_9_4_8.apx,1200,1200,1200,1200,,,
 b_9_4_9.apx,1200,1200,1200,1200,,,
 b_9_5_10.apx,1200,1200,1200,1200,,,
 b_9_6_10.apx,1200,1200,1200,1200,,,
 b_9_6_6.apx,1200,1200,1200,1200,,,
 b_9_6_7.apx,1200,1200,1200,1200,,,
 b_9_6_8.apx,1200,1200,1200,1200,,,
 b_9_6_9.apx,1200,1200,1200,1200,,,
 b_9_7_10.apx,1200,1200,1200,1200,,,
 b_9_8_10.apx,1200,1200,1200,1200,,,
 b_9_8_6.apx,1200,1200,1200,1200,,,
 b_9_8_7.apx,1200,1200,1200,1200,,,
 b_9_8_8.apx,1200,1200,1200,1200,,,
 b_9_8_9.apx,1200,1200,1200,1200,,,
 b_9_9_10.apx,1200,1200,1200,1200,,,
 be_10_10_10.apx,1200,1200,1200,1200,,,
 be_10_1_10.apx,1200,1200,1200,1200,,,
 be_10_2_10.apx,1200,1200,1200,1200,,,
 be_10_3_10.apx,1200,1200,1200,1200,,,
 be_10_4_10.apx,1200,1200,1200,1200,,,
 be_10_5_10.apx,1200,1200,1200,1200,,,
 be_10_6_10.apx,1200,1200,1200,1200,,,
 be_10_7_10.apx,1200,1200,1200,1200,,,
 be_10_8_10.apx,1200,1200,1200,1200,,,
 be_10_9_10.apx,1200,1200,1200,1200,,,
 be_5_10_10.apx,240.14,60.34,45.33,335.26,,,
 be_5_10_6.apx,213.23,232.55,31.93,328.55,,,
 be_5_10_7.apx,140.55,66.28,35.06,361.73,,,
 be_5_10_8.apx,259.06,186.94,46.29,312.04,,,
 be_5_10_9.apx,147.34,141.17,38.37,371.17,,,
 be_5_1_10.apx,64.06,256.28,32.62,92.39,,,
 be_5_2_10.apx,85.37,64.38,40.86,143.02,,,
 be_5_2_6.apx,84.21,53.21,22.28,96.15,,,
 be_5_2_7.apx,121.34,60.18,25.66,95.28,,,
 be_5_2_8.apx,48.23,55.29,43.48,80.18,,,
 be_5_2_9.apx,107.67,57.18,40.73,81.27,,,
 be_5_3_10.apx,74.32,58.19,21.07,100.05,,,
 be_5_4_10.apx,147.24,72.29,23.19,197.29,,,
 be_5_4_6.apx,112.19,114.22,28.38,108.27,,,
 be_5_4_7.apx,89.34,75.28,32.16,163.04,,,
 be_5_4_8.apx,165.35,92.03,37.31,233.42,,,
 be_5_4_9.apx,94.46,70.72,22.31,105.29,,,
 be_5_5_10.apx,102.25,120.01,21.29,111.13,,,
 be_5_6_10.apx,124.32,36.12,28.24,214.28,,,
 be_5_6_6.apx,115.46,129.11,29.56,277.18,,,
 be_5_6_7.apx,216.74,194.27,29.73,309.38,,,
 be_5_6_8.apx,217.73,200.22,64.16,317.44,,,
 be_5_6_9.apx,201.18,76.73,28.18,274.2,,,
 be_5_7_10.apx,241.21,194.28,27.29,304.29,,,
 be_5_8_10.apx,263.19,215.21,36.21,352.73,,,
 be_5_8_6.apx,257.37,212.17,31.04,330.03,,,
 be_5_8_7.apx,265.45,89.27,34.12,307.39,,,
 be_5_8_8.apx,206.36,75.17,25.27,289.32,,,
 be_5_8_9.apx,243.32,325.33,27.28,335.25,,,
 be_5_9_10.apx,112.48,88.05,31.22,214.53,,,
 be_6_10_10.apx,1200,76.03,148.66,1200,,,
 be_6_10_6.apx,1200,554.31,68.73,1200,,,
 be_6_10_7.apx,1200,1200,169.29,1200,,,
 be_6_10_8.apx,1200,252.18,124.38,1200,,,
 be_6_10_9.apx,575.47,1200.67,141.29,1200,,,
 be_6_1_10.apx,204.35,555.21,78.88,226.27,,,
 be_6_2_10.apx,286.42,226.29,174.23,260.11,,,
 be_6_2_6.apx,565.74,200.47,356.21,441.28,,,
